Kode,Navn,Enhet,Kommentar,bauhaus,byggern,byggmakker,byggmax,byggtorget,elektroimportoren,fargerike,flisekompaniet,gausdal_landhandleri,industrivarer,jemogfix,jernia,maxbo,megaflis,monter,obs_bygg,staypro,torn,verktoy,xl_bygg
54338718,"Vannbordbeslag aluminium 5111 5,00 hvitut Sørbø",stk,,,1895,1895,,1540.38,,,,,,,,,,1370,,,,,1614.75
S1022210,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
S1023200,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
24175952,"Musebånd 1,25m Isola",stk,,,42,42.9,,37.57,,,,29,,,,48.9,,52.7,59,,,,38.9
24410573,Vindtett trefiberplate 12x1200x2740 Hunton vindsperre 95 pak 95stk,stk,,,399.3,314,,329,,,,309,,,,319,,315.15,299,,,,346.55
47616236,Rockfon sonar act a15/24 40x600x600,stk,,,,,,,,,,,,,,,,,,,,,
48144002,Tape vindsperre tyvek 75 Isola,stk,,,819,659,,638.75,,,,609,,,,669,,657,,,,,710.53
23450034,Hobbyplate furu 18x400x2400 limt ubehandlet Combiwood Barkevik,stk,,,679,539,,619,,,,,,,,499,,,489,,,,731.34
23450059,Hobbyplate furu 18x300x2400 limt ubehandlet Combiwood Barkevik,stk,,,504,412.4,,469,,,,,,,,399,,1482,395,,220,,548.85
23654494,Hobbyplate furu 18x200x2400 limt ubehandlet Combiwood Barkevik,stk,,,339,279,,338.86,,,,,,,,269,,,279,,,,354.61
45387678,Hobbyplate 200x2400x18 furu malt lamellimt 18mm rindal Rindalslist,stk,,,839,559,,703.69,,,,509,,,,629,,,535,,150,,714.35
45387697,Hobbyplate 300x2400x18 furu malt lamellimt 18mm rindal Rindalslist,stk,,,1290,999,,1017.67,,,,719,,,,1099,,3885,1299,,,,1093.04
45387701,Hobbyplate 400x2400x18 furu malt lamellimt 18mm rindal Rindalslist,stk,,,1690,1249,,1499,,,,949,,,,1399,,1085,1099,,,,1432.76
21416722,Terskel m9 anslag Standard 22mm eik swedoor,stk,,,179,159,,122.78,,,,,,,,,,216,,,,,152.8
25222795,Terskel m9 underliggende 14mm eik flat Swedoor,stk,,,179,179,,122.78,,,,,,,,179,,199,,,,,185
